Station,Station_ft,Bank_setting,Face_toe_ft,Face_top_ft,Face_slope_deg,Bank_u_2011_ft,Bank_u_2022_ft,Move_25pct_ft,Move_50pct_ft,Move_75pct_ft,Move_mean_ft,Detection_limit_95pct_ft,Real_change,Rate_ft_per_yr
43,430,set back 60 ft behind a raised bar/bench,29.7,33.9,26.0,64.6,65.2,1.1,0.6,1.9,1.2,1.8,no,0.11
44,440,set back 58 ft behind a raised bar/bench,29.1,33.7,21.0,64.9,66.7,3.3,1.8,2.1,2.4,2.0,yes,0.23
45,450,set back 62 ft behind a raised bar/bench,28.8,32.9,19.0,70.7,70.5,1.4,-0.3,0.1,0.4,2.1,no,0.04
46,460,set back 65 ft behind a raised bar/bench,28.7,32.4,18.0,70.6,72.4,1.8,1.8,-0.9,0.9,2.2,no,0.09
47,470,set back 67 ft behind a raised bar/bench,28.8,32.5,20.0,71.8,73.0,1.5,1.2,-0.7,0.7,2.0,no,0.06
48,480,set back 68 ft behind a raised bar/bench,28.8,32.1,22.0,73.8,73.6,-1.1,-0.1,-0.4,-0.5,1.9,no,-0.05
49,490,set back 66 ft behind a raised bar/bench,28.5,31.5,19.0,74.9,75.1,0.5,0.1,-0.8,-0.1,2.1,no,-0.01
50,500,set back 66 ft behind a raised bar/bench,28.9,31.1,21.0,76.6,76.4,1.4,-0.2,-0.4,0.3,2.0,no,0.03
51,510,no bank face,,,,,,,,,,,,
52,520,creek-facing,25.8,28.6,20.0,18.3,17.3,1.3,-1.0,-5.0,-1.6,2.1,no,-0.15
53,530,set back 69 ft behind a raised bar/bench,28.7,31.4,18.0,72.3,74.7,0.8,2.3,1.7,1.6,2.2,no,0.15
54,540,set back 70 ft behind a raised bar/bench,29.3,31.9,23.0,75.0,76.3,0.6,1.2,0.5,0.8,1.9,no,0.07
55,550,set back 70 ft behind a raised bar/bench,28.9,32.8,28.0,74.0,75.6,1.8,1.6,2.0,1.8,1.7,yes,0.17
56,560,set back 68 ft behind a raised bar/bench,28.8,33.2,31.0,74.3,75.7,0.3,1.4,-0.3,0.5,1.6,no,0.04
57,570,set back 62 ft behind a raised bar/bench,27.2,33.1,26.0,68.7,72.4,2.6,3.7,4.3,3.5,1.7,yes,0.34
58,580,set back 68 ft behind a raised bar/bench,27.3,33.3,31.0,73.1,73.2,0.4,0.1,0.0,0.2,1.6,no,0.02
59,590,set back 58 ft behind a raised bar/bench,27.1,33.4,33.0,71.8,72.9,0.3,1.1,1.9,1.1,1.5,no,0.11
60,600,set back 56 ft behind a raised bar/bench,25.4,33.2,25.0,70.2,67.7,-1.8,-2.5,-1.8,-2.0,1.8,yes,-0.2
61,610,set back 56 ft behind a raised bar/bench,25.6,33.0,33.0,67.3,67.3,-1.5,-0.0,0.2,-0.5,1.5,no,-0.04
62,620,set back 58 ft behind a raised bar/bench,26.1,33.6,35.0,66.1,66.6,-0.8,0.6,1.1,0.3,1.5,no,0.03
63,630,set back 48 ft behind a raised bar/bench,25.1,33.0,28.0,61.2,58.8,-3.6,-2.3,-2.3,-2.8,1.7,yes,-0.27
64,640,set back 40 ft behind a raised bar/bench,25.1,33.5,36.0,58.7,53.0,-5.4,-5.7,-5.8,-5.6,1.5,yes,-0.54
65,650,set back 42 ft behind a raised bar/bench,25.9,34.1,36.0,50.1,50.2,-0.2,0.0,-0.8,-0.3,1.5,no,-0.03
66,660,creek-facing,24.2,33.8,35.0,41.4,43.2,1.8,1.8,2.4,2.0,1.5,yes,0.19
67,670,set back 60 ft behind a raised bar/bench,35.8,47.9,48.0,,72.6,,,,,1.4,no,
68,680,set back 52 ft behind a raised bar/bench,35.6,49.7,35.0,65.8,65.0,-0.5,-0.8,-2.0,-1.1,1.5,no,-0.11
69,690,creek-facing,21.9,56.1,46.0,33.0,32.3,-0.4,-0.7,-0.5,-0.6,1.4,no,-0.05
70,700,creek-facing,22.0,56.2,49.0,32.8,31.5,-0.3,-1.3,-1.4,-1.0,1.3,no,-0.09
71,710,creek-facing,21.1,55.8,41.0,27.3,25.9,-0.1,-1.4,-0.5,-0.7,1.4,no,-0.06
72,720,creek-facing,21.0,55.7,66.0,21.7,24.2,4.6,2.5,0.6,2.6,1.3,yes,0.25
73,730,creek-facing,20.7,40.6,60.0,20.6,27.0,7.0,6.4,5.1,6.2,1.3,yes,0.59
74,740,creek-facing,20.6,34.0,65.0,20.3,29.6,10.3,9.3,7.7,9.1,1.3,yes,0.87
75,750,creek-facing,20.5,34.0,55.0,23.5,25.3,1.6,1.8,1.1,1.5,1.3,yes,0.15
76,760,creek-facing,21.0,33.6,50.0,23.0,23.1,-1.3,0.1,-0.4,-0.5,1.3,no,-0.05
77,770,creek-facing,20.9,34.2,66.0,22.0,20.5,1.0,-1.5,-3.6,-1.4,1.3,yes,-0.13
78,780,creek-facing,20.5,32.2,57.0,19.5,19.5,0.9,-0.0,-3.0,-0.7,1.3,no,-0.07
79,790,creek-facing,21.2,33.3,56.0,23.6,21.0,-0.1,-2.6,-5.2,-2.6,1.3,yes,-0.25
80,800,creek-facing,21.0,30.9,50.0,24.0,22.2,-0.6,-1.8,-3.5,-2.0,1.3,yes,-0.19
81,810,creek-facing,21.2,33.1,36.0,32.2,32.6,0.3,0.3,0.1,0.2,1.5,no,0.02
82,820,creek-facing,20.8,33.3,39.0,37.2,36.7,0.7,-0.6,-0.8,-0.2,1.5,no,-0.02
83,830,creek-facing,20.6,33.6,37.0,39.4,40.3,1.3,0.9,0.6,0.9,1.5,no,0.09
84,840,creek-facing,20.6,33.5,35.0,41.0,43.4,-0.4,2.4,0.6,0.8,1.5,no,0.08
85,850,creek-facing,20.5,33.6,36.0,43.6,44.6,1.3,1.0,0.8,1.1,1.5,no,0.1
86,860,creek-facing,20.9,33.7,36.0,45.5,45.9,2.1,0.4,0.7,1.1,1.5,no,0.1
87,870,creek-facing,20.3,33.7,34.0,45.8,46.0,-1.0,0.2,0.8,-0.0,1.5,no,-0.0
88,880,creek-facing,20.0,33.3,42.0,47.7,48.6,1.1,0.8,0.7,0.9,1.4,no,0.09
89,890,creek-facing,20.1,32.8,47.0,49.6,50.0,0.6,0.3,0.5,0.5,1.4,no,0.05
90,900,creek-facing,20.6,32.6,39.0,50.5,50.6,0.3,0.1,0.4,0.3,1.4,no,0.03
91,910,creek-facing,20.1,32.6,37.0,49.2,49.8,0.1,0.6,1.2,0.6,1.5,no,0.06
92,920,creek-facing,19.7,32.5,38.0,50.9,51.5,-1.4,0.7,0.7,0.0,1.5,no,0.0
93,930,creek-facing,23.3,32.5,43.0,55.4,56.6,0.2,1.2,0.4,0.6,1.4,no,0.06
94,940,creek-facing,19.6,32.6,40.0,51.7,52.4,1.6,0.7,0.6,1.0,1.4,no,0.09
95,950,creek-facing,19.4,32.5,35.0,48.4,49.8,0.3,1.5,0.5,0.7,1.5,no,0.07
96,960,creek-facing,19.3,32.3,41.0,43.6,43.5,1.7,-0.1,-0.7,0.3,1.4,no,0.03
97,970,creek-facing,19.1,32.1,48.0,44.7,44.1,0.2,-0.6,-1.0,-0.5,1.4,no,-0.05
98,980,creek-facing,19.1,32.0,42.0,42.3,43.0,0.1,0.7,-0.7,0.0,1.4,no,0.0
99,990,creek-facing,18.7,31.9,51.0,41.7,41.0,-0.8,-0.6,-1.3,-0.9,1.3,no,-0.09
100,1000,creek-facing,18.6,31.6,48.0,38.8,39.9,3.1,1.1,0.3,1.5,1.4,yes,0.15
101,1010,creek-facing,18.1,31.2,43.0,36.2,38.0,1.2,1.8,0.7,1.2,1.4,no,0.11
102,1020,creek-facing,18.1,31.4,49.0,36.0,36.9,1.7,0.9,0.1,0.9,1.3,no,0.09
103,1030,creek-facing,17.8,30.9,52.0,37.0,37.4,1.1,0.4,-0.3,0.4,1.3,no,0.04
104,1040,creek-facing,17.5,30.8,44.0,39.1,38.8,0.9,-0.3,0.1,0.2,1.4,no,0.02
105,1050,creek-facing,17.5,31.1,40.0,40.9,41.1,0.5,0.2,-0.5,0.0,1.4,no,0.0
106,1060,creek-facing,18.1,31.1,32.0,43.3,42.1,1.1,-1.2,-0.1,-0.1,1.6,no,-0.01
107,1070,creek-facing,17.8,31.1,30.0,41.0,41.3,-1.0,0.3,0.6,-0.0,1.6,no,-0.0
108,1080,creek-facing,19.0,31.0,37.0,45.3,45.2,0.2,-0.1,-0.1,0.0,1.5,no,0.0
109,1090,creek-facing,18.9,30.7,44.0,43.5,42.3,0.4,-1.2,-0.3,-0.4,1.4,no,-0.04
110,1100,creek-facing,17.3,30.6,35.0,38.2,38.2,1.3,0.0,-1.4,-0.0,1.5,no,-0.0
111,1110,creek-facing,16.9,30.6,39.0,37.3,37.1,1.2,-0.2,0.3,0.5,1.4,no,0.04
112,1120,creek-facing,16.9,30.6,29.0,37.6,38.7,1.8,1.1,-0.7,0.7,1.6,no,0.07
113,1130,creek-facing,22.8,30.6,28.0,54.2,53.7,0.2,-0.5,-0.4,-0.3,1.7,no,-0.02
114,1140,set back 36 ft behind a raised bar/bench,23.3,30.3,29.0,56.9,57.0,-0.1,0.1,0.2,0.1,1.6,no,0.01
115,1150,creek-facing,23.2,30.1,30.0,58.4,58.6,0.3,0.3,-0.5,0.0,1.6,no,0.0
116,1160,creek-facing,17.3,30.1,27.0,51.8,51.7,-0.1,-0.2,0.9,0.2,1.7,no,0.02
117,1170,creek-facing,16.9,29.8,29.0,52.9,52.5,1.0,-0.4,0.9,0.5,1.6,no,0.05
118,1180,creek-facing,17.2,29.6,34.0,56.0,55.9,-0.2,-0.1,0.1,-0.1,1.5,no,-0.01
119,1190,creek-facing,19.9,29.3,30.0,60.6,60.7,0.1,0.1,0.4,0.2,1.6,no,0.02
120,1200,set back 52 ft behind a raised bar/bench,20.2,29.0,30.0,61.9,62.0,0.0,0.1,-0.0,0.0,1.6,no,0.0
121,1210,set back 35 ft behind a raised bar/bench,20.6,28.5,31.0,63.7,64.3,0.6,0.6,0.7,0.6,1.6,no,0.06
122,1220,set back 36 ft behind a raised bar/bench,20.2,28.5,33.0,64.8,65.2,1.0,0.3,-0.1,0.4,1.5,no,0.04
123,1230,set back 26 ft behind a raised bar/bench,19.0,28.6,36.0,66.6,66.3,1.2,-0.3,0.0,0.3,1.5,no,0.03
124,1240,set back 30 ft behind a raised bar/bench,18.8,28.7,35.0,70.0,69.8,-2.3,-0.2,0.4,-0.7,1.5,no,-0.07
125,1250,set back 28 ft behind a raised bar/bench,18.3,28.6,34.0,69.7,69.7,-1.5,-0.0,0.8,-0.2,1.5,no,-0.02
126,1260,set back 31 ft behind a raised bar/bench,18.5,28.5,32.0,69.7,70.2,-0.7,0.4,0.7,0.1,1.6,no,0.01
127,1270,set back 26 ft behind a raised bar/bench,18.3,28.7,33.0,68.9,69.4,-1.1,0.5,0.6,0.0,1.5,no,0.0

"Lidar 2011-11-19 vs 2022-04-15 (10.4 yr). Move > 0 = south bank moved away from the channel toward the houses (erosion). Bank_u = distance from the reference centreline at mid-height of the bank face. 'Set back' = the high bank stands more than 15 ft behind the water's edge (behind a gravel bar or bench), so changes there are not creek erosion (e.g. yard fill at stations 60-64)."
